,Input,Output
"
408,Where does the gaseous oxygen form at?,"	anode
"
409,"In Rome, what do historians consider to be a precedent for comics?","	Trajan's Column
"
410,Where did Operation Moshtarak take place?,"	southern Afghanistan
"
411,Who saw increased loyalty from the Roman soldiers?,"	their generals
"
412,What time period was the early Heian era?,"	784–967
"
413,Which addendum was added to the Lectures book in 2005?,"	""Feynman's Tips on Physics: A Problem-Solving Supplement to the Feynman Lectures on Physics
"
414,What type of production techniques did Dennis Bovell develop?,"	innovative
"
415,What unit did Montgomery command?,"	21st Army Group
"
416,What year did constructrion begin for the Cooper Union Foundation?,"	1853
"
417,During what century was the Roman conversion to Christianity considered complete?,"	5th
"
418,"According to Hayek, limited governemnt power through the rule of law does not do what to people?","	frustrate his efforts
"
419,What are today's big environmental problems?,"	the salination of the Werra river
"
420,When did Max Planck first recognize the value of the Planck constant?,"	1900
"
421,In what year did the English take over New Amsterdam?,"	1664
"
422,Who captured Malakoff?,"	the French
"
423,Where does Egypt rank among oil and natural gas sonsumers in Africa?,"	largest consumer
"
424,"If all matter is removed from a vacuum, would it be empty space?","	it would still not be ""empty""
"
425,Who was Beijing captured by in 1644?,"	Li Zicheng's peasant rebels
"
426,How many minor opposition parties does Nigeria have?,"	About twenty
"
427,When did Kerry run for Senate?,"	1984
"
428,What is okanye?,"	pronounce unstressed /o/ clearly
"
429,In modern secular usage Jews include how many groups?,"	three
"
430,what did the Soviet Union annex some of it's territory as?,"	Soviet Socialist Republics
"
431,"Whose duties are defined as ""support on Middle Eastern and North African countries?""","	(NESA)
"
432,What is a defensive way that mimicry can be used?,"	startling the predator and giving it time to escape
"
433,When was HDTV introduced in the US?,"	late 1980s
"
434,What Seven Wonder of the Ancient world was built by the Archaemenid Empire in the 4th Century BC?,"	the Mausoleum at Halicarnassus
"
435,When were the Nieszawa statutes granted?,"	1454
"
436,"What was the ""ugliest street in America"" in the 1970s?","	Speedway Boulevard
"
437,What has no electric charge?,"	black hole
"
438,Who offered Queen a management deal in 1972?,"	Norman Sheffield
"
439,The state received how much in remittances from the U.S. in 2011?,"	884 million dollars
"
440,What are the other levels classified by?,"	the testing objective
"
441,What happened to many of the larger suburban mansions from the boom era?,"	demolished or subdivided
"
442,What was a later conflict that some considered the first World War?,"	to later conflicts like the Napoleonic Wars
"
443,When did Julius Caesar return to Rome?,"	61 BC
"
444,What was the resulting browser for the Mozilla Foundation?,"	Firefox
"
445,What does :76 Shadow Copy do?,"	access previous versions of shared files stored on a Windows Server computer
"
446,Which two contestants were eliminated the following week?,"	Phil Stacey and Chris Richardson
"
447,Which type of antibiotic goes after the cell membrane?,"	polymyxins
"
448,Where did the British crack secret German military communications during World War II?,"	Bletchley Park
"
449,When does the spread of antibacterial resistance frequently occurs/,"	vertical transmission
"
450,Who approved the resolution?,"	San Francisco Board of Supervisors
"
451,"Other than the $100 bill, which other note is not going to be redesigned?","	$1
"
452,What version of PS3 contained Photo Gallery?,"	2.60
"
453,To what did the ending -ei evolve into in Ijekavian Neostokavian?,"	-io
"
454,What is commonly used to determine taxonomy of bacteria?,"	The distribution of metabolic traits
"
455,When was the Nintendo 3DS Digimon World Re:Digitize released?,"	2013
"
456,What is the term used to describe what Modernization could be similar or related to?,"	enlightenment
"
457,What was the average unemployment rate in the U.S. in 2014?,"	6.2%
"
458,When did the Later Han period end?,"	220 AD
"
459,To what did critics attribute Nasser's popular appeal?,"	successful manipulation and demagoguery
"
460,When was the Board of Estimate found unconstitutional?,"	1989
"
461,Why do plants develop bulbs?,"	opportunities for fertilisation of flowers by animals are rare
"
462,What is the capital of the Marshall Islands?,"	Majuro
"
463,What is a pub game that is popular in many beer drinking nations?,"	bar billiards
"
464,What can be easily coined by writing on paper?,"	characters
"
465,"What was the Constable's force called, in English?","	the Constabulary
"
466,Which explorer discovered a sea-route to India?,"	Vasco da Gama
"
467,Christós is translated from what Biblical term?,"	mashiach
"
468,"Who was known by the nickname ""the Grammarian""?","	Ælfric of Eynsham
"
469,Who was the developer of the first compier?,"	Admiral Grace Hopper
"
470,What is the profession of James A. Beckford?,"	Sociologist
"
471,Slovene is a major language in what country?,"	Slovenia
"
472,A transmission can cause reduction in what?,"	signal-to-noise ratio
"
473,Which architect other than Calatrava has helped Valencia's reputation?,"	Félix Candela
"
474,What city is home to The Crown Liquor Saloon?,"	Belfast
"
475,What percentage of New Delhi's population is Sikh?,"	5.4%
"
476,How far down the road did Liszt live from Frédéric during this time?,"	a few blocks
"
477,"Which British jurist later made the phrase ""rule of law"" popular in the 1800s?","	A. V. Dicey
"
478,Who built I-94?,"	Henry Ford
"
479,What does Chromes version for Windows 8 do?,"	uses a full-screen version of the existing desktop interface
"
480,What is the most common use for zinc?,"	(hot-dip galvanizing
"
481,The eastern Slavs intermixed with who?,"	Uralic and Scandinavian peoples
"
482,What are the to main educational hubs of Rajasthan?,"	Jodhpur and Kota
"
483,Who conducted a study on comprehensive schools?,"	Helmut Fend
"
484,What Charleston College offers a degree in Building Arts?,"	The American College of the Building Arts
"
485,What was Madonna's sixth album named?,"	Bedtime Stories
"
486,What belief regarding a cosmic void was accepted by most in the 17th century?,"	a supernatural void beyond the confines of the cosmos itself
"
487,In what economic field of study does Hayek's views differ from those in macroeconomics?,"	microeconomics
"
488,"What did Napoleon abolish in Spain in 1813, during his brother's rule there?","	the Spanish Inquisition
"
489,What type of copy can gene duplication sometimes result in?,"	nonfunctional
"
490,Corruption can determine certain things in what kind of activities?,"	sports
"
491,What type of climate does Portugal have?,"	Mediterranean
"
492,What is one of the heaviest migratory funnels?,"	Batumi bottleneck
"
493,What are some examples of non-bilaterian animals?,"	Porifera, Ctenophora, Cnidaria and Placozoa
"
494,Who are private insurance companies required to accept?,"	every applicant
"
495,"At the lowest level of the brain and spinal cord, are what areas?","	the medulla and pons
"
496,About how many people work in the New York fashion industry?,"	180,000
"
497,What was India's majority religion in the 1940s?,"	Hindu
"
498,What was the first great English translation?,"	Wycliffe Bible
"
499,What does EMALS stand for?,"	Electromagnetic Aircraft Launch System
"
500,In what year did the General Slocum disaster occur?,"	1904
"
501,Which brand was the kit provider prior to 1994?,"	Adidas
"
502,When did the residents of St. Barts file for separation from Guadeloupe?,"	2003
"
503,"In addition to radar and computing, what else did air defence want to exploit?","	guided missiles
"
504,Which arm of NARA handles grants?,"	The National Historical Publications and Records Commission
"
505,What was the Anschluss?,"	the annexation of Austria by the German Reich
"
506,What type of birds specialise in hunting mammals or other birds?,"	Birds of prey
"
507,Which colony allowed Britain to control the Atlantic entry and exit point to the Mediterranean?,"	permission to sell slaves in Spanish America
"
508,Who led the militia that defended Richmond?,"	Sampson Mathews
"
509,What was the Federal Reserve's assumption regarding what makes a loan subprime?,"	high-interest-rate loans (3 percentage points over average)
"
510,West Slavic people consist of which nationalities?,"	Poles, Czechs and Slovaks
"
511,The current heat flow on Neptune might be explained by what?,"	heat left over from Neptune's formation
"
512,What evidence related to the crash remains missing?,"	book of train breakdowns
"
513,What would be a cause of low frequency sounds when listening?,"	warped disk
"
514,What percentage of New Yorkers follow the Catholic faith?,"	33%
"
515,What countries did Kievan Rus' become?,"	modern Russia, Ukraine and Belarus
"
516,Was there a war between the Mexicans and the Texans?,"	Texans, fought a war of independence from the central government of Mexico
"
517,What two groups were fighting in the Chinese Civil War?,"	Chinese Communists and the Chinese Nationalists
"
518,What two countries is treating pain a specialty in?,"	China and Australia
"
519,What year was the OAU formed?,"	1963
"
520,What PlayStation 3 feature did Home Theater Magazine most like about PS3?,"	Blu-ray playback
"
521,What does James Liebman teach?,"	law
